MachineIdentifier,ProductName,EngineVersion,AppVersion,AvSigVersion,IsBeta,RtpStateBitfield,IsSxsPassiveMode,DefaultBrowsersIdentifier,AVProductStatesIdentifier,AVProductsInstalled,AVProductsEnabled,HasTpm,CountryIdentifier,CityIdentifier,OrganizationIdentifier,GeoNameIdentifier,LocaleEnglishNameIdentifier,Platform,Processor,OsVer,OsBuild,OsSuite,OsPlatformSubRelease,OsBuildLab,SkuEdition,IsProtected,AutoSampleOptIn,PuaMode,SMode,IeVerIdentifier,SmartScreen,Firewall,UacLuaenable,Census_MDC2FormFactor,Census_DeviceFamily,Census_OEMNameIdentifier,Census_OEMModelIdentifier,Census_ProcessorCoreCount,Census_ProcessorManufacturerIdentifier,Census_ProcessorModelIdentifier,Census_ProcessorClass,Census_PrimaryDiskTotalCapacity,Census_PrimaryDiskTypeName,Census_SystemVolumeTotalCapacity,Census_HasOpticalDiskDrive,Census_TotalPhysicalRAM,Census_ChassisTypeName,Census_InternalPrimaryDiagonalDisplaySizeInInches,Census_InternalPrimaryDisplayResolutionHorizontal,Census_InternalPrimaryDisplayResolutionVertical,Census_PowerPlatformRoleName,Census_InternalBatteryType,Census_InternalBatteryNumberOfCharges,Census_OSVersion,Census_OSArchitecture,Census_OSBranch,Census_OSBuildNumber,Census_OSBuildRevision,Census_OSEdition,Census_OSSkuName,Census_OSInstallTypeName,Census_OSInstallLanguageIdentifier,Census_OSUILocaleIdentifier,Census_OSWUAutoUpdateOptionsName,Census_IsPortableOperatingSystem,Census_GenuineStateName,Census_ActivationChannel,Census_IsFlightingInternal,Census_IsFlightsDisabled,Census_FlightRing,Census_ThresholdOptIn,Census_FirmwareManufacturerIdentifier,Census_FirmwareVersionIdentifier,Census_IsSecureBootEnabled,Census_IsWIMBootEnabled,Census_IsVirtualDevice,Census_IsTouchEnabled,Census_IsPenCapable,Census_IsAlwaysOnAlwaysConnectedCapable,Wdft_IsGamer,Wdft_RegionIdentifier,HasDetections
00001b3b3cf8c8c079a272ce51031753,win8defender,1.1.15100.1,4.18.1807.18075,1.273.869.0,0,7,0,,53447,1,1,1,107,133897,46,138,134,windows10,arm64,10.0.0.0,17134,256,rs4,17134.1.arm64fre.rs4_release.180410-1804,Pro,1,0,,0,137,,1,1,Detachable,Windows.Desktop,4143,227191,8,10,4425,,121676,SSD,120786,0,4096,Detachable,11.9,2160,1440,Slate,,18,10.0.17134.167,arm64,rs4_release,17134,167,Core,CORE,Other,8,31,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,845,50922,0,,0,1,1,1,0,1,0
00001b924fcc6922321cfadbafd8a91a,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1826.0,0,7,0,,47238,2,1,1,164,120983,27,205,172,windows10,x64,10.0.0.0,17134,768,rs4,17134.1.amd64fre.rs4_release.180410-1804,Home,1,0,,0,137,,1,1,Notebook,Windows.Desktop,2668,172079,2,5,2097,,122104,SSD,120827,0,4096,Notebook,13.9,1366,768,Mobile,,7,10.0.17134.228,amd64,rs4_release,17134,228,Core,CORE,Upgrade,27,120,FullAuto,0,IS_GENUINE,OEM:DM,,0,Retail,,628,15816,1,,0,0,0,0,0,15,1
00001f26e9e5775277d6231fc6ac9e70,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1372.0,0,7,0,,36429,2,1,1,80,7198,27,101,107,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1,0,,0,137,,1,1,Desktop,Windows.Desktop,2102,250496,4,5,2407,,476940,HDD,456309,0,4096,Desktop,18.5,1366,768,Desktop,,4294967295,10.0.17134.191,amd64,rs4_release,17134,191,Professional,PROFESSIONAL,UUPUpgrade,6,28,FullAuto,0,IS_GENUINE,OEM:DM,,0,Retail,,486,51601,1,,0,0,0,0,1,3,0
000024872c81cf03fa862aa8f99e0984,win8defender,1.1.15200.1,4.18.1807.18075,1.275.895.0,0,7,0,,53447,1,1,1,171,124736,,211,182,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1,0,,0,137,RequireAdmin,1,1,Desktop,Windows.Desktop,4589,313586,2,5,3470,,953869,HDD,953034,0,8192,Desktop,21.5,1920,1080,Desktop,,4294967295,10.0.17134.228,amd64,rs4_release,17134,228,Professional,PROFESSIONAL,UUPUpgrade,29,125,FullAuto,0,IS_GENUINE,OEM:NONSLP,,0,Retail,,142,11081,0,,0,0,0,0,0,3,0
0000258d2b847c7549150cfec6464473,win8defender,1.1.15100.1,4.18.1807.18075,1.273.925.0,0,7,0,,7945,2,1,1,169,141516,27,209,74,windows10,x64,10.0.0.0,17134,768,rs4,17134.1.amd64fre.rs4_release.180410-1804,Home,1,0,,0,137,Off,1,1,Notebook,Windows.Desktop,525,225830,8,5,3082,,953869,HDD,252439,0,8192,Notebook,15.5,1920,1080,Mobile,,33,10.0.17134.191,amd64,rs4_release,17134,191,Core,CORE,Clean,7,30,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,142,38347,0,,0,0,0,0,1,3,1
000027c68b89acb49d4017763b043449,win8defender,1.1.15200.1,4.18.1807.18075,1.275.130.0,0,7,0,,47238,2,1,1,157,114477,27,199,75,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1,0,,0,137,ExistsNotSet,1,1,Notebook,Windows.Desktop,1443,256567,4,5,2373,,476940,HDD,463540,0,4096,Laptop,13.9,1366,768,Mobile,lion,0,10.0.17134.228,amd64,rs4_release,17134,228,Professional,PROFESSIONAL,UUPUpgrade,8,31,FullAuto,0,IS_GENUINE,OEM:DM,,0,Retail,0,355,19951,1,0,0,0,0,0,0,1,1
000028150912f45b1dc667164de489ef,mse,1.1.15200.1,4.9.218.0,1.275.300.0,0,7,0,,29199,1,1,0,80,7198,27,101,107,windows7,x64,6.1.1.0,7601,768,windows7,7601.18409.amd64fre.win7sp1_gdr.140303-2144,Invalid,1,0,,0,290,,1,0,Notebook,Windows.Desktop,1781,185880,2,1,1458,,305245,HDD,305142,1,4096,Notebook,17.1,1440,900,Mobile,lion,0,10.0.10586.164,amd64,th2_release,10586,164,Core,CORE,Update,6,28,FullAuto,0,IS_GENUINE,Retail,,,Retail,0,803,64575,0,0,0,0,0,0,0,3,0
00002a7fd74f9ca4a59a679a7cc80388,win8defender,1.1.15100.1,4.18.1806.18062,1.273.466.0,0,0,1,,39,1,1,1,93,64168,18,277,75,windows10,x64,10.0.0.0,16299,256,rs3,16299.431.amd64fre.rs3_release_svc_escrow.180502-1908,Pro,1,0,,0,117,,1,1,Notebook,Windows.Desktop,2668,171199,4,5,2660,,953869,HDD,99500,0,8192,Notebook,15.5,1920,1080,Mobile,,0,10.0.17134.191,amd64,rs4_release,17134,191,Professional,PROFESSIONAL,UUPUpgrade,8,31,FullAuto,0,INVALID_LICENSE,Retail,,0,Unknown,,628,27266,0,,0,0,0,0,0,8,0
00002b7454f06444e8d9f6083d8a9ebd,win8defender,1.1.15300.6,4.18.1809.2,1.277.48.0,0,7,0,,53447,1,1,1,178,136271,27,230,71,windows10,x64,10.0.0.0,17134,768,rs4,17134.1.amd64fre.rs4_release.180410-1804,Home,1,0,,,137,,1,1,Notebook,Windows.Desktop,666,264568,4,5,2665,,477102,SSD,48602,0,8192,Laptop,13.3,2560,1600,Mobile,,0,10.0.17134.285,amd64,rs4_release,17134,285,Core,CORE,IBSClean,7,30,FullAuto,0,INVALID_LICENSE,Retail,,0,Retail,,152,45542,0,,0,0,0,0,1,1,0
00002c6cccecdef94aaa557d0458ab8a,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1795.0,0,7,0,,47238,2,1,1,158,79230,18,202,70,windows10,x64,10.0.0.0,16299,768,rs3,16299.15.amd64fre.rs3_release.170928-1534,Home,1,0,,0,111,RequireAdmin,1,1,Notebook,Windows.Desktop,2668,171331,4,1,212,,476940,HDD,432003,0,4096,Notebook,15.5,1366,768,Mobile,,0,10.0.16299.309,amd64,rs3_release,16299,309,CoreSingleLanguage,CORE_SINGLELANGUAGE,UUPUpgrade,8,31,Notify,0,IS_GENUINE,OEM:DM,,0,Retail,,644,8919,1,,0,0,0,0,1,1,1
0000309dcbba938f8aa7ee5a0204119d,win8defender,1.1.15100.1,4.10.209.0,1.273.781.0,0,7,0,,53447,1,1,1,93,,27,119,64,windows8,x86,6.3.0.0,9600,256,windows8.1,9600.19067.x86fre.winblue_ltsb_escrow.180619-2033,Pro,1,0,,0,333,RequireAdmin,1,1,Notebook,Windows.Desktop,2668,35125,2,5,3423,,238475,HDD,71532,0,2048,Notebook,14,1366,768,Mobile,,,10.0.14393.0,x86,rs1_release,14393,0,Core,CORE,IBSClean,8,31,UNKNOWN,0,INVALID_LICENSE,Retail,,0,Retail,,628,39482,0,,0,0,0,0,0,8,0
000033565d8f7a3029afd1d6c4c465e9,win8defender,1.1.15100.1,4.8.10240.17914,1.273.356.0,0,7,0,,53447,1,1,1,43,12607,27,53,42,windows10,x64,10.0.0.0,10240,256,th1,10240.17914.amd64fre.th1.180627-1911,Enterprise LTSB,1,0,,0,65,RequireAdmin,1,1,Notebook,Windows.Desktop,666,264571,4,5,2699,,477102,SSD,363314,0,8192,Laptop,13.3,2560,1600,Mobile,lion,0,10.0.10240.17914,amd64,th1_st1,10240,17914,EnterpriseS,ENTERPRISE_S,IBSClean,37,158,UNKNOWN,0,IS_GENUINE,Volume:GVLK,0,0,NOT_SET,0,,,0,0,0,0,0,0,1,7,1
0000378813e163d00d5e5f7e0a12b6d9,win8defender,1.1.15200.1,4.18.1807.18075,1.275.488.0,0,7,0,,53447,1,1,1,147,77794,,187,74,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1,0,,0,137,RequireAdmin,1,1,Notebook,Windows.Desktop,2102,249943,4,5,2660,,476940,HDD,455657,0,4096,Notebook,13.9,1366,768,Mobile,,0,10.0.17134.228,amd64,rs4_release,17134,228,Professional,PROFESSIONAL,Update,8,31,FullAuto,0,IS_GENUINE,OEM:DM,,0,Retail,,486,48686,1,,0,0,0,0,0,11,0
000037f84e21c83328ba6963cdac497b,win8defender,1.1.15200.1,4.18.1807.18075,1.275.173.0,0,7,0,,7945,2,1,1,12,110781,27,15,58,windows10,x64,10.0.0.0,17134,768,rs4,17134.1.amd64fre.rs4_release.180410-1804,Home,1,0,,0,137,RequireAdmin,1,1,Notebook,Windows.Desktop,2653,304618,4,5,2697,,228936,SSD,228106,0,8192,Laptop,13.2,1920,1080,Mobile,,0,10.0.17134.228,amd64,rs4_release,17134,228,Core,CORE,UUPUpgrade,8,31,FullAuto,0,IS_GENUINE,OEM:DM,,0,Retail,,142,12463,0,,0,0,0,0,1,2,0
000038f24a1ee98931456b3e49f7934b,win8defender,1.1.15200.1,4.18.1806.18062,1.275.879.0,0,7,0,,53447,1,1,1,203,143782,27,255,46,windows10,x86,10.0.0.0,17134,256,rs4,17134.1.x86fre.rs4_release.180410-1804,Pro,1,0,,0,137,ExistsNotSet,1,1,Desktop,Windows.Desktop,585,189698,4,5,2453,,953869,HDD,543445,0,6144,Desktop,24,1920,1080,Desktop,,4294967295,10.0.17134.137,x86,rs4_release,17134,137,Professional,PROFESSIONAL,UUPUpgrade,39,160,Notify,0,IS_GENUINE,Retail,,0,Retail,0,142,51032,0,0,0,0,0,0,0,7,0
000039104d7f42c15fdc0d1bcb9d4b4a,win8defender,1.1.15200.1,4.18.1807.18075,1.275.91.0,0,7,0,1950,53447,1,1,1,43,37357,27,53,42,windows10,x86,10.0.0.0,16299,256,rs3,16299.15.x86fre.rs3_release.170928-1534,Pro,1,0,,0,117,RequireAdmin,1,1,Desktop,Windows.Desktop,4589,313586,2,1,451,,476940,Unspecified,51207,0,2048,Desktop,17.7,1440,900,Desktop,,4294967295,10.0.16299.125,x86,rs3_release,16299,125,Professional,PROFESSIONAL,Update,37,158,UNKNOWN,0,IS_GENUINE,Retail,,0,Retail,0,142,3120,0,0,0,0,0,0,0,7,0
000039c280a86ff549f7f3526e918ae4,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1376.0,0,7,0,,53447,1,1,1,205,11382,,274,266,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1,0,,0,137,,1,1,Desktop,Windows.Desktop,2206,251773,4,5,2267,,476940,HDD,109434,0,4096,Desktop,23,1920,1080,Workstation,,4294967295,10.0.17134.191,amd64,rs4_release,17134,191,Professional,PROFESSIONAL,UUPUpgrade,29,125,FullAuto,0,IS_GENUINE,OEM:NONSLP,,0,Retail,,93,40479,0,,0,1,0,0,0,3,1
00003ad63e561a25415551cd47d426d5,win8defender,1.1.15300.6,4.13.17134.1,1.277.25.0,0,7,0,,53447,1,1,1,171,110673,,211,182,windows10,x64,10.0.0.0,17134,768,rs4,17134.1.amd64fre.rs4_release.180410-1804,Home,1,0,,0,137,,1,1,Notebook,Windows.Desktop,525,331297,4,5,2660,,476940,HDD,476325,0,4096,Notebook,15.5,1366,768,Mobile,,276,10.0.17134.112,amd64,rs4_release,17134,112,CoreSingleLanguage,CORE_SINGLELANGUAGE,IBSClean,29,125,UNKNOWN,0,IS_GENUINE,OEM:DM,,0,Retail,,142,70432,0,,0,0,0,0,0,3,0
00003e5e679ccfe7a13e953c47dd584f,win8defender,1.1.15200.1,4.18.1807.18075,1.275.26.0,0,7,0,,53447,1,1,1,199,150207,27,266,75,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1,0,,0,137,,1,1,PCOther,Windows.Desktop,2102,230160,4,5,2407,,476940,HDD,249385,0,4096,Desktop,20.7,1920,1080,Desktop,,4294967295,10.0.17134.228,amd64,rs4_release,17134,228,Professional,PROFESSIONAL,Reset,14,49,FullAuto,0,IS_GENUINE,Volume:GVLK,,0,Retail,,93,2499,0,,0,0,0,0,0,11,1
0000422df51e713f82b98e04cb883cb5,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1561.0,0,7,0,,53447,1,1,1,9,20805,27,10,214,windows10,x64,10.0.0.0,16299,256,rs3,16299.15.amd64fre.rs3_release.170928-1534,Pro,1,0,,0,111,,1,1,Desktop,Windows.Desktop,1980,227527,8,5,3079,,953869,HDD,953318,0,8192,Desktop,18.5,1366,768,Desktop,,4294967295,10.0.16299.15,amd64,rs3_release,16299,15,Professional,PROFESSIONAL,IBSClean,10,35,UNKNOWN,0,IS_GENUINE,OEM:NONSLP,,0,Retail,,142,33968,0,,0,0,0,0,0,10,1
00004348c2a11460f58a9ae6bca70e2e,win8defender,1.1.15200.1,4.18.1807.18075,1.275.1025.0,0,7,0,,53447,1,1,1,68,59605,27,276,74,windows10,x86,10.0.0.0,14393,256,rs1,14393.576.x86fre.rs1_release_inmarket.161208-2252,Pro,1,0,,0,94,RequireAdmin,1,1,Notebook,Windows.Desktop,4730,311910,2,5,3267,,305245,HDD,152125,0,4096,Notebook,15.5,1366,768,Mobile,li-i,0,10.0.14393.576,x86,rs1_release,14393,576,Professional,PROFESSIONAL,Update,7,30,Notify,0,IS_GENUINE,Retail,0,0,Retail,0,897,64640,0,0,0,0,0,0,1,12,0
000043b6d35721598e8bc43f8c354124,win8defender,1.1.13504.0,4.13.17134.228,1.237.607.0,0,7,0,146,36505,2,1,1,201,,27,267,251,windows10,x64,10.0.0.0,17134,768,rs4,17134.1.amd64fre.rs4_release.180410-1804,Home,0,0,,0,137,RequireAdmin,1,1,Notebook,Windows.Desktop,2206,244755,4,1,62,,953869,HDD,465833,0,12288,Notebook,15.5,1366,768,Mobile,lion,260,10.0.17134.285,amd64,rs4_release,17134,285,CoreSingleLanguage,CORE_SINGLELANGUAGE,Upgrade,35,148,FullAuto,0,IS_GENUINE,Retail,,0,Retail,0,142,33123,1,0,0,0,0,0,0,11,0
000046e59c37136173428e560acbe3a2,win8defender,1.1.15200.1,4.18.1807.18075,1.275.511.0,0,7,0,,46669,2,1,1,141,60626,27,240,233,windows10,x64,10.0.0.0,15063,768,rs2,15063.0.amd64fre.rs2_release.170317-1834,Home,1,0,,0,108,,1,1,Notebook,Windows.Desktop,2668,171476,2,5,2097,,476940,HDD,450063,0,2048,Notebook,13.9,1366,768,Mobile,,0,10.0.15063.1266,amd64,rs2_release,15063,1266,CoreSingleLanguage,CORE_SINGLELANGUAGE,Reset,9,34,Notify,0,IS_GENUINE,OEM:DM,,0,Retail,,628,13190,1,,0,0,0,0,1,10,1
000048a73fb4b6a94cc169389208032d,win8defender,1.1.15200.1,4.18.1807.18075,1.275.482.0,0,7,0,,53447,1,1,1,68,162796,27,276,74,windows10,x64,10.0.0.0,17134,768,rs4,17134.1.amd64fre.rs4_release.180410-1804,Home,1,0,,0,137,,1,1,Desktop,Windows.Desktop,1980,333466,4,5,2509,,244198,SSD,244096,1,16384,Desktop,27,1920,1200,Desktop,,4294967295,10.0.17134.1,amd64,rs4_release,17134,1,Core,CORE,UUPUpgrade,8,31,Notify,0,IS_GENUINE,Retail,,0,Unknown,,168,33357,0,,0,1,0,0,0,12,1
00004a558a836aa7b6ca3a29ed4a0ac3,win8defender,1.1.15100.1,4.12.16299.15,1.273.1622.0,0,7,0,,16847,2,1,1,35,148234,27,45,60,windows10,x64,10.0.0.0,16299,768,rs3,16299.431.amd64fre.rs3_release_svc_escrow.180502-1908,Home,1,0,,0,117,ExistsNotSet,1,1,Desktop,Windows.Desktop,2206,149738,4,1,48,,1907729,HDD,1891585,0,8192,Desktop,24,1600,900,Desktop,,4294967295,10.0.16299.611,amd64,rs3_release_svc_escrow,16299,611,Core,CORE,Upgrade,8,31,FullAuto,0,IS_GENUINE,Retail,,0,Retail,0,93,17595,1,0,0,0,0,0,0,4,1
00005727315ca5f2846667ab415d7c5c,win8defender,1.1.15100.1,4.18.1807.18075,1.273.1341.0,0,7,0,,53447,1,1,1,159,70124,,276,74,windows10,x64,10.0.0.0,16299,256,rs3,16299.431.amd64fre.rs3_release_svc_escrow.180502-1908,Pro,1,0,,0,117,RequireAdmin,1,1,Desktop,Windows.Desktop,2668,3158,2,5,3211,,152627,UNKNOWN,98651,0,3072,Desktop,40,1920,1080,Desktop,,4294967295,10.0.16299.431,amd64,rs3_release_svc_escrow,16299,431,Professional,PROFESSIONAL,UUPUpgrade,7,30,Notify,0,INVALID_LICENSE,Retail,,0,Retail,,628,18648,0,,0,0,0,0,0,11,0
00005c4f5d93f600a61b41581e5b66b2,win8defender,1.1.15200.1,4.18.1807.18075,1.275.249.0,0,7,0,,53447,1,1,1,107,,27,138,134,windows10,x64,10.0.0.0,17134,256,rs4,17134.1.amd64fre.rs4_release.180410-1804,Pro,1,0,,0,137,,1,1,Desktop,Windows.Desktop,1980,228229,4,5,2620,,244198,SSD,32768,0,16384,Desktop,27,1920,1080,Desktop,,4294967295,10.0.17134.228,amd64,rs4_release,17134,228,Professional,PROFESSIONAL,IBSClean,20,83,FullAuto,0,IS_GENUINE,Retail,,0,Retail,,142,34322,0,,0,0,0,0,1,1,1
